_id,id,active,name,college_score,score,college_id,university_id,university_tier,university_name,city,state,category,aishe_id,university_type,abbreviation[0],abbreviation[1],abbreviation[2],abbreviation[3],abbreviation[4],__v
6941079d1c87f81bf2f5f162,76931,true,"Indian Institute of Technology Bhubaneshwar, Odisha",9.25,92.5,C41,U1060,Tier-1,,Bhubaneswar,Odisha,PM Vidyalaxmi Institutes,U-0355,Institute of National Importance,iit bhubaneswar,iitbbs,,,,0
6941079d1c87f81bf2f5f163,76932,true,"Indian Institute of Technology Tirupati, Andhra Pradesh",,,,,,,Tirupati,Andhra Pradesh,PM Vidyalaxmi Institutes,U-0844,Institute of National Importance,iit tirupati,iit tpt,,,,0
6941079d1c87f81bf2f5f164,76933,true,"National Institute of Technology Tadepalligudem, Andhra Pradesh",,,,,,,Tadepalligudem,Andhra Pradesh,PM Vidyalaxmi Institutes,U-0855,Institute of National Importance,nit andhra pradesh,nit-ap,,,,0
6941079d1c87f81bf2f5f165,76934,true,"National Institute of Technology Yupia, Arunachal Pradesh",,,,,,,Yupia,Arunachal Pradesh,PM Vidyalaxmi Institutes,U-0615,Institute of National Importance,nit itanagar,nit,,,,0
6941079d1c87f81bf2f5f166,76935,true,"Indian Institute of Technology Guwahati, Assam",,,,,,,Guwahati,Assam,PM Vidyalaxmi Institutes,U-0053,Institute of National Importance,iit guwahati,iitg,,,,0
6941079d1c87f81bf2f5f167,76936,true,"National Institute of Technology Silchar, Assam",,,,,,,Silchar,Assam,PM Vidyalaxmi Institutes,U-0055,Institute of National Importance,nit silchar,nits,,,,0
6941079d1c87f81bf2f5f168,76937,true,"Indian Institute of Technology Patna, Bihar",,,,,,,Patna,Bihar,UNIVERSITIES,U-0064,Institute of National Importance,iit patna,iitp,,,,0
6941079d1c87f81bf2f5f169,76938,true,"National Institute of Technology Patna, Bihar",,,,,,,Patna,Bihar,UNIVERSITIES,U-0072,Institute of National Importance,nit patna,nitp,,,,0
6941079d1c87f81bf2f5f16a,76939,true,"Indian Institute of Technology Bhilai, Chhattisgarh",,,,,,,Bhilai,Chhattisgarh,PM Vidyalaxmi Institutes,U-0946,Institute of National Importance,iit bhilai,iitb,,,,0
6941079d1c87f81bf2f5f16b,76940,true,"National Institute of Technology Raipur, Chhattisgarh",,,,,,,Raipur,Chhattisgarh,UNIVERSITIES,U-0092,Institute of National Importance,nit raipur,nitrr,,,,0
6941079d1c87f81bf2f5f16c,76941,true,"Indian Institute of Technology Delhi, Delhi",,,,,,,New Delhi,Delhi,PM Vidyalaxmi Institutes,U-0100,Institute of National Importance,iit delhi,iitd,,,,0
6941079d1c87f81bf2f5f16d,76942,true,"National Institute of Technology New Delhi, Delhi",,,,,,,New Delhi,Delhi,PM Vidyalaxmi Institutes,U-0622,Institute of National Importance,nit delhi,nitd,,,,0
6941079d1c87f81bf2f5f16e,76943,true,"Indian Institute of Technology Goa, Goa",9.625,96.25,C96,U1115,Tier-1,,Ponda,Goa,PM Vidyalaxmi Institutes,U-0907,Institute of National Importance,iit goa,iitgoa,,,,0
6941079d1c87f81bf2f5f16f,76944,true,"National Institute of Technology Ponda, Goa",,,,,,,Ponda,Goa,PM Vidyalaxmi Institutes,U-0620,Institute of National Importance,nit goa,nit north goa,nit,,,0
6941079d1c87f81bf2f5f170,76945,true,"Indian Institute of Technology Gandhinagar, Gujarat",,,,,,,Gandhinagar,Gujarat,PM Vidyalaxmi Institutes,U-0139,Institute of National Importance,iit gandhinagar,iitgn,,,,0
6941079d1c87f81bf2f5f171,76946,true,"Sardar Vallabhbhai National Institute of Technology Surat, Gujarat",,,,,,,Surat,Gujarat,UNIVERSITIES,U-0149,Institute of National Importance,nit surat,svnit,svnit,,,0
6941079d1c87f81bf2f5f172,76947,true,"National Institute of Technology Kurukshetra, Haryana",,,,,,,Kurukshetra,Haryana,UNIVERSITIES,U-0172,Institute of National Importance,nit kurukshetra,nitkkr,,,,0
6941079d1c87f81bf2f5f173,76948,true,"Indian Institute of Technology Mandi, Himachal Pradesh",,,,,,,Mandi,Himachal Pradesh,UNIVERSITIES,U-0184,Institute of National Importance,iit mandi,iitmandi,,,,0
6941079d1c87f81bf2f5f174,76949,true,"National Institute of Technology Hamirpur, Himachal Pradesh",,,,,,,Hamirpur,Himachal Pradesh,UNIVERSITIES,U-0189,Institute of National Importance,nit hamirpur,nith,nit,,,0
6941079d1c87f81bf2f5f175,76950,true,"Indian Institute of Technology Jammu, Jammu and Kashmir",,,,,,,Jammu,Jammu and Kashmir,UNIVERSITIES,U-0906,Institute of National Importance,iit jammu,iitjmu,,,,0
6941079d1c87f81bf2f5f176,76951,true,"National Institute of Technology Srinagar, Jammu and Kashmir",,,,,,,Srinagar,Jammu and Kashmir,UNIVERSITIES,U-0197,Institute of National Importance,nit srinagar,nitsri,,,,0
6941079d1c87f81bf2f5f177,76952,true,"Indian Institute of Technology Indian School of Mines, Jharkhand",,,,,,,Dhanbad,Jharkhand,PM Vidyalaxmi Institutes,U-0205,Institute of National Importance,iit dhanbad,ism dhanbad,,,,0
6941079d1c87f81bf2f5f178,76953,true,"National Institute of Technology Jamshedpur, Jharkhand",10,100,C22,U1041,Tier-1,,Saraikela Kharsawan,Jharkhand,UNIVERSITIES,U-0207,Institute of National Importance,nit jamshedpur,nitj,nit,,,0
6941079d1c87f81bf2f5f179,76954,true,"Indian Institute of Technology Dharwad, Karnataka",,,,,,,Dharwad,Karnataka,UNIVERSITIES,U-0899,Institute of National Importance,iit dharwad,iitdh,,,,0
6941079d1c87f81bf2f5f17a,76955,true,"National Institute of Technology Dakshina Kannada, Karnataka",,,,,,,Dakshina Kannada,Karnataka,UNIVERSITIES,U-0237,Institute of National Importance,nitk,nit surathkal,,,,0
6941079d1c87f81bf2f5f17b,76956,true,"Indian Institute of Technology Palakkad, Kerala",,,,,,,Palakkad,Kerala,UNIVERSITIES,U-0878,Institute of National Importance,iit palakkad,iitpkd,,,,0
6941079d1c87f81bf2f5f17c,76957,true,"National Institute of Technology Calicut, Kerala",9.625,96.25,C25,U1044,Tier-1,,Kozhikode,Kerala,UNIVERSITIES,U-0263,Institute of National Importance,nit calicut,nitc,,,,0
6941079d1c87f81bf2f5f17d,76958,true,"Indian Institute of Technology And Management, Madhya Pradesh",,,,,,"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal",Morena,Madhya Pradesh,College,C-31137,State Public University,iitm sabalgarh,iitm,,,,0
6941079d1c87f81bf2f5f17e,76959,true,"Indian Institute of Technology Indore, Madhya Pradesh",,,,,,,Indore,Madhya Pradesh,UNIVERSITIES,U-0273,Institute of National Importance,iit indore,iiti,,,,0
6941079d1c87f81bf2f5f17f,76960,true,"Maulana Azad National Institute of Technology Bhopal, Madhya Pradesh",,,,,,,Bhopal,Madhya Pradesh,UNIVERSITIES,U-0284,Institute of National Importance,manit,nit bhopal,,,,0
6941079d1c87f81bf2f5f180,76961,true,"Indian Institute of Technology Bombay, Maharashtra",,,,,,,Mumbai,Maharashtra,PM Vidyalaxmi Institutes,U-0306,Institute of National Importance,iit bombay,iitb,iit mumbai,,,0
6941079d1c87f81bf2f5f181,76962,true,"Visvesvaraya National Institute of Technology Nagpur, Maharashtra",,,,,,,Nagpur,Maharashtra,UNIVERSITIES,U-0334,Institute of National Importance,vnit nagpur,vnit,,,,0
6941079d1c87f81bf2f5f182,76963,true,"National Institute of Technology Manipur, Manipur",,,,,,,Imphal West,Manipur,UNIVERSITIES,U-0613,Institute of National Importance,nit imphal,nitm,nit,,,0
6941079d1c87f81bf2f5f183,76964,true,"National Institute of Technology Shillong, Meghalaya",,,,,,,Shillong,Meghalaya,PM Vidyalaxmi Institutes,U-0619,Institute of National Importance,nit meghalaya,nitm,,,,0
6941079d1c87f81bf2f5f184,76965,true,"National Institute of Technology Mizoram, Aizawl",,,,,,,Aizawl,Mizoram,PM Vidyalaxmi Institutes,U-0617,Institute of National Importance,nit mizoram,nitm,,,,0
6941079d1c87f81bf2f5f185,76966,true,"National Institute of Technology Dimapur, Nagaland",,,,,,,Dimapur,Nagaland,UNIVERSITIES,U-0618,Institute of National Importance,nit dimapur,nit,,,,0
6941079d1c87f81bf2f5f186,76967,true,"National Institute of Technology Rourkela, Odisha",,,,,,,Rourkela,Odisha,PM Vidyalaxmi Institutes,U-0357,Institute of National Importance,nit rourkela,nitr,,,,0
6941079d1c87f81bf2f5f187,76968,true,"National Institute of Technology Puducherry, Puducherry",,,,,,,Puducherry,Puducherry,PM Vidyalaxmi Institutes,U-0621,Institute of National Importance,nit puducherry,nitpy,nit,,,0
6941079d1c87f81bf2f5f188,76969,true,"Dr Br Ambedkar National Institute of Technology Jalandhar, Punjab",,,,,,,Jalandhar,Punjab,UNIVERSITIES,U-0374,Institute of National Importance,nit jalandhar,nitj,,,,0
6941079d1c87f81bf2f5f189,76970,true,"Indian Institute of Technology Ropar, Punjab",,,,,,,Rupnagar,Punjab,UNIVERSITIES,U-0378,Institute of National Importance,iit ropar,iitrpr,,,,0
6941079d1c87f81bf2f5f18a,76971,true,"Indian Institute of Technology Jodhpur, Rajasthan",,,,,,,Jodhpur,Rajasthan,UNIVERSITIES,U-0395,Institute of National Importance,iit jodhpur,iitj,,,,0
6941079d1c87f81bf2f5f18b,76972,true,"Malviya National Institute of Technology Jaipur, Rajasthan",,,,,,,Jaipur,Rajasthan,UNIVERSITIES,U-0410,Institute of National Importance,mnit jaipur,mnit,,,,0
6941079d1c87f81bf2f5f18c,76973,true,"National Institute of Technology Sikkim, Sikkim",,,,,,,Ravangla,Sikkim,PM Vidyalaxmi Institutes,U-0614,Institute of National Importance,nit sikkim,nit ravangla,,,,0
6941079d1c87f81bf2f5f18d,76974,true,"Indian Institute of Technology Madras, Tamil Nadu",,,,,,,Chennai,Tamil Nadu,PM Vidyalaxmi Institutes,U-0456,Institute of National Importance,iit madras,iitm,iit chennai,,,0
6941079d1c87f81bf2f5f18e,76975,true,"National Institute of Technology Tiruchirappalli, Tamil Nadu",,,,,,,Tiruchirappalli,Tamil Nadu,PM Vidyalaxmi Institutes,U-0467,Institute of National Importance,nit trichy,nitt,,,,0
